Country,Year,Forecast_Value,Metric,Model
QAT,2027,43179826.31034115,Total,XGBoost
SD,2027,10558324.144519214,Total,XGBoost
UEA,2027,619832804.0236442,Total,XGBoost
YEM,2027,17444036.92819593,Total,XGBoost
BHR,2027,221004.44921465867,Average,XGBoost
DZA,2027,598474.3311185847,Average,XGBoost
EGY,2027,1201622.1343150886,Average,XGBoost
IRQ,2027,1393667.8297518636,Average,XGBoost
JOR,2027,374667.78865070647,Average,XGBoost
KSA,2027,3033156.4109472088,Average,XGBoost
KWT,2027,517609.7775712705,Average,XGBoost
LBN,2027,279333.6156748258,Average,XGBoost
LBY,2027,357159.2229821744,Average,XGBoost
MAR,2027,1087849.2940238502,Average,XGBoost
OMN,2027,594570.3688454558,Average,XGBoost
QAT,2027,445152.84856021806,Average,XGBoost
SD,2027,109982.54317207514,Average,XGBoost
UEA,2027,6390028.90746025,Average,XGBoost
YEM,2027,179835.4322494426,Average,XGBoost
BHR,2028,23476541.964623652,Total,XGBoost
DZA,2028,63079675.6179951,Total,XGBoost
EGY,2028,127347634.5903387,Total,XGBoost
IRQ,2028,148320440.3547962,Total,XGBoost
JOR,2028,39182709.854417294,Total,XGBoost
KSA,2028,320553478.30651456,Total,XGBoost
KWT,2028,54170965.954756215,Total,XGBoost
LBN,2028,30400213.517440826,Total,XGBoost
LBY,2028,38302357.109303385,Total,XGBoost
MAR,2028,116779757.09318368,Total,XGBoost
OMN,2028,63703241.819839776,Total,XGBoost
QAT,2028,46618237.28032523,Total,XGBoost
SD,2028,11625732.43512956,Total,XGBoost
UEA,2028,675389891.4376471,Total,XGBoost
YEM,2028,19019969.46990727,Total,XGBoost
BHR,2028,242026.2058208624,Average,XGBoost
DZA,2028,650305.934206135,Average,XGBoost
EGY,2028,1326537.8603160281,Average,XGBoost
IRQ,2028,1529076.7046886205,Average,XGBoost
JOR,2028,412449.57741491887,Average,XGBoost
KSA,2028,3304675.034087779,Average,XGBoost
KWT,2028,558463.5665438785,Average,XGBoost
LBN,2028,313404.26306640025,Average,XGBoost
LBY,2028,394869.66092065343,Average,XGBoost
MAR,2028,1203915.0215792132,Average,XGBoost
OMN,2028,663575.435623331,Average,XGBoost
QAT,2028,480600.38433324976,Average,XGBoost
SD,2028,121101.37953259959,Average,XGBoost
UEA,2028,6962782.385955125,Average,XGBoost
YEM,2028,196082.1594835801,Average,XGBoost
